지역,매장명,주소,위도,경도
경기,동탄영천점,"경기도 화성시 지산1길 11-10, 103호(영천동)",37.20723465,127.1115531
서울,가산 SK V1점,"서울특별시 금천구 가산디지털1로 171, 117호(가산동)",37.4807624,126.8806788
제주,제주중문점,제주특별자치도 서귀포시 천제연로 182(중문동),33.25160985,126.4239288
서울,문정아이파크점,"서울특별시 송파구 법원로4길 6, 132-2호(문정동)",37.48231776,127.12211
경기,구리갈매점,경기도 구리시 경춘북로 252갈매역아이파크841동 1층 117호(갈매동),,
인천,영종운서역점,"인천광역시 중구 신도시남로142번길 6, 129호(운서동)",37.49342077,126.4914898
경기,군포당정점,경기도 군포시 고산로151번길 8당정메디컬빌딩 104호(당정동),,
전북,전북정읍점,전라북도 정읍시 중앙로 56 금오빌딩 104호(연지동),,
부산,해운대백병원점,부산광역시 해운대구 좌동순환로 252대원아파트 상가동 103호,,
인천,인천만수점,인천광역시 남동구 담방로 36(만수동),37.44308674,126.7390541
경기,용인에버랜드역점,경기도 용인시 처인구 포곡읍 전대로78번길 22-1,37.28690394,127.2171669
경기,수원아주대점,경기도 수원시 영통구 아주로 42(원천동),37.27854031,127.0440657
인천,청라심곡천점,인천광역시 서구 보석로11번안길 11(청라동),37.51997624,126.6248115
인천,루원시티점,"인천광역시 서구 봉오재1로 49, 102호(신현동, 루원시티루에블리)",37.52394782,126.6670938
인천,청라홍익점,"인천광역시 서구 중봉대로586번길 9-4, 114호(청라동)",37.53209475,126.6509349
경기,안성진사리점,"경기도 안성시 공도읍 진건중길 39, 107호",36.99195827,127.1417059
서울,한성대입구역점,서울특별시 성북구 동소문로 9(동소문동1가),37.58911994,127.0070387
인천,인천당하점,"인천광역시 서구 청마로167번길 9, 104호(당하동)",37.59218939,126.675694
광주,광주하남2지구점,광주광역시 광산구 용아로379번길 29(산정동),35.17660322,126.8026867
인천,인천마전점,"인천광역시 서구 완정로 35, 104호(마전동)",37.59558094,126.6700873
경기,남양주호평점,"경기도 남양주시 늘을2로 26, 131호(호평동)",37.65508881,127.2441072
경기,의정부동오마을점,경기도 의정부시 추동로19번길 7(신곡동),37.74349648,127.0576456
경기,은행로데오점,경기도 시흥시 은행로155번길 16(은행동),37.444302,126.7976568
인천,청라경서점,"인천광역시 서구 청라커낼로 264, 104호(청라동)",37.53209266,126.6449758
인천,모래내시장점,인천광역시 남동구 구월로276번길 20(구월동),37.45478467,126.7209526
경기,안성명동점,경기도 안성시 중앙로389번길 23(대천동),37.00842107,127.2702835
충남,논산취암점,충청남도 논산시 중앙로410번길 11(취암동),36.20133578,127.0892916
경남,개양오거리점,경상남도 진주시 가좌길74번길 12(가좌동),35.15960095,128.1065555
경기,용인동백점,"경기도 용인시 기흥구 동백중앙로 283, 125호(중동)",37.27801308,127.1534878
경기,화성향남2지구점,"경기도 화성시 향남읍 발안양감로 205, 103호",37.11581149,126.9127594
인천,부평시장역점,인천광역시 부평구 부평대로 67-2(부평동),37.49752995,126.7220899
서울,반포고투몰점,"서울특별시 서초구 신반포로 지하200, G-002호(잠원동)",37.50622031,127.0050517
부산,서면롯데호텔점,부산광역시 부산진구 부전로 64(부전동),35.15571499,129.0549242
경기,안산본오점,경기도 안산시 상록구 샘골로 149(본오동),37.29720417,126.86286
인천,인천삼산점,인천광역시 부평구 길주로 639(삼산동),37.50726096,126.7335472
경기,오산수청점,"경기도 오산시 내삼미로 93, 106호(수청동)",37.17053602,127.0657862
서울,노원역점,서울특별시 노원구 노해로 459(상계동),37.65425941,127.0589983
부산,개금시장점,부산광역시 부산진구 가야대로 480-1(개금동),35.15286935,129.0245708
부산,장전역점,부산광역시 금정구 중앙대로1719번길 30(부곡동),35.23791354,129.0904793
경기,죽전보정점,"경기도 용인시 기흥구 죽전로 33, 103호(보정동)",37.32074987,127.1125014
경기,포천신읍점,경기도 포천시 구절초로 20(신읍동),37.89601636,127.2026149
제주,제주남원점,제주특별자치도 서귀포시 남원읍 태위로 660,33.27846134,126.7171784
경기,수원고색산업단지점,"경기도 수원시 권선구 산업로 180, 106호(고색동)",37.24244482,126.9841072
서울,구로깔깔거리점,서울특별시 구로구 시흥대로 557(구로동),37.48298724,126.9010446
제주,제주서홍점,제주특별자치도 서귀포시 중앙로 199(서홍동),33.26225778,126.5585364
경기,일산라페스타점,경기도 고양시 일산동구 무궁화로 31-21풍성프라자 1층 109호(장항동),,
경기,부천상동점,"경기도 부천시 상동로 113, 114호(상동)",37.50747577,126.7530392
강원,원주단구점,강원도 원주시 서원대로 392(단구동),37.33103185,127.9484643
경기,옥정신도시점,"경기도 양주시 옥정동로7나길 15, 103호(옥정동)",37.82020983,127.0933944
전남,나주빛가람점,전라남도 나주시 상야1길 7예가람타워 105호(빛가람동),,
인천,인천산곡점,인천광역시 부평구 마장로 310(산곡동),37.50565104,126.7036625
서울,위례와이즈더샵점,"서울특별시 송파구 위례광장로 270, 120호(장지동, 송파와이즈더샵)",37.47710633,127.1436517
광주,조선대점,광주광역시 동구 필문대로273번길 5(동명동),35.14671499,126.9282817
부산,해운대NC점,부산광역시 해운대구 해운대로 813(좌동),35.17053605,129.1770491
서울,화곡역점,서울특별시 강서구 화곡로 160(화곡동),37.54117082,126.8394468
경기,고양삼송시티점,"경기도 고양시 덕양구 동송로 33, 1-007호(동산동)",37.64906411,126.896975
서울,월곡두산점,서울특별시 성북구 오패산로 46월곡두산위브아파트 106호(하월곡동),,
경기,평택대점,경기도 평택시 현신2길 8(용이동),36.99459071,127.1364596
서울,공덕오거리점,서울특별시 마포구 새창로 10(도화동),37.54212152,126.9510314
